040000011PA               000004000000000001000006000000000002R    PP000000000000000412 C       
064047655PA               000004000000000001000004651000000001R    PP000000000002475712 C       
064141829PA               000004001000000002000004651000000001R    PP000000000002488912 C       
064142162PA               000004001000000002000004650000000002R    PP000000000002489012 C       
075611338PA               000004001000000002000004266000000001R    PP000000000003625212 C       
080000346KA               000002211000000004000004316000000001R    KK000000000003703302 C       
082058536PA               000004001000000002000004265000000002R    PP000000000005072312 C       
082837354PA               000004000000000001000004265000000002R    PP000000000005751312 C       
082842020PA               000004000000000001000004651000000001R    PP000000000005760162 C       
083408574PA               000004000000000001000004266000000001R    PP000000000006181212 C       
083445232PA               000004001000000002000004266000000001R    PP000000000006209212 C       
083514338TA               000003300000000001000000000000000000R    TT000000000006235102 C       
083514338TA               000003300000000001000005013000000001R    TT000000000006235202 C       
085252570PA               000004001000000002000004276000000001R    PP000000000007542012 C       
085253002PA               000004001000000002000004286000000001R    PP000000000007543712 C       
085254002PA               000004001000000002000004296000000001R    PP000000000007547812 C       
085255002PA               000004001000000002000004306000000001R    PP000000000007550612 C       
085256002PA               000004001000000002000004316000000001R    PP000000000007553162 C       
085257003PA               000004001000000002000004326000000001R    PP000000000007556302 C       
085258252PA               000004200000000001000004326000000001R    PP000000000007561262 C       
085258257TA               000000000000000000000005013000000001R    TT000000000007561302 C       
085258258TA               000003465000000001000005013000000001R    TT000000000007561402 C       
085323112TA               000003465000000001000004315000000002R    TT000000000007610262 C       
085328545PA               000004201000000002000004326000000001R    PP000000000007616662 C       
085544633PA               000004201000000002000004285000000001R    PP000000000007758212 C       
085611853TA               000003465000000001000005013000000001R    TT000000000007796302 C       
085611853TA               000003465000000001000004284000000002R    TT000000000007796462 C       
090226763TA               000003465000000001000005013000000001R    TT000000000008187762 C       
090226763TA               000003465000000001000004368000000002R    TT000000000008187802 C       
090303008TA               000003465000000001000005013000000001R    TT000000000008256502 C       
090303008TA               000003465000000001000004284000000002R    TT000000000008256662 C       
092049107ZA               000004222000000001000000000000000000R    ZZ000000000009924762 C       
092049107ZA               000004222000000001000004285000000001R    ZZ000000000009924802 C       
092110004PA               000004205000000001000004285000000001R    PP000000000010014502 C       
092111004PA               000004212000000001000004285000000001R    PP000000000010015202 C       
092112193PA               000004223000000002000004285000000001R    PP000000000010017262 C       
092506101PA               000004223000000002000004294000000001R    PP000000000010682302 C       
092612438PA               000004212000000001000004294000000001R    PP000000000010807862 C       
092613762ZA               000004222000000001000000000000000000R    ZZ000000000010836102 C       
092613812ZA               000000000000000000000000000000000000R    ZZ000000000010837962 C       
092614002PA               000004202000000001000004294000000001R    PP000000000010847462 C       
092615002PA               000004201000000002000004294000000001R    PP000000000010863662 C       
092620448PA               000004201000000002000004337000000006R    PP000000000010967302 C       
092621404TA               000003465000000001000005013000000001R    TT000000000010992662 C       
092621404TA               000003465000000001000004293000000002R    TT000000000010992862 C       
092624006PA               000004201000000002000004346000000006R    PP000000000010998902 C       
092633138PA               000004201000000002000004308000000001R    PP000000000011042102 C       
092633603PA               000004201000000002000004311000000001R    PP000000000011049102 C       
092637503ZA               000004219000000001000000000000000000R    ZZ000000000011053662 C       
092637503ZA               000004219000000001000004284000000001R    ZZ000000000011053712 C       
092639680PA               000004220000000002000004311000000001R    PP000000000011092562 C       
092640804PA               000004220000000002000004308000000001R    PP000000000011095202 C       
092641604PA               000004220000000002000004302000000001R    PP000000000011104902 C       
092655499TA               000003465000000001000005013000000001R    TT000000000011144802 C       
092655499TA               000003465000000001000004283000000002R    TT000000000011144962 C       
092800008PA               000004221000000001000004302000000001R    PP000000000011322062 C       
092800009ZA               000004220000000001000004283000000001R    ZZ000000000011323402 C       
092800009TA               000003465000000001000004282000000001R    TT000000000011323862 C       
092800009TA               000004225000000001000004282000000001R    TT000000000011324012 C       
092804006PA               000004221000000001000004300000000001R    PP000000000011422202 C       
092815005TA               000003465000000001000004282000000001R    TT000000000012459362 C       
092822453TA               000003465000000001000004281000000002R    TT000000000013226362 C       
092822453TA               000004229000000001000004281000000002R    TT000000000013226412 C       
092830004TA               000003465000000001000004281000000002R    TT000000000013546662 C       
092830004TA               000003465000000001000004280000000001R    TT000000000013546762 C       
092833605PA               000004221000000001000004298000000001R    PP000000000013667002 C       
092840864TA               000003946000000001000004280000000001R    TT000000000013939102 C       
092840864TA               000004052000000001000004280000000001R    TT000000000013939202 C       
092840864TA               000004052000000002000004280000000001R    TT000000000013939302 C       
092852473PA               000004222000000002000004298000000001R    PP000000000014024162 C       
092858236ZA               000004225000000001000004283000000001R    ZZ000000000014075862 C       
092858384TA               000004056000000001000004280000000001R    TT000000000014080902 C       
092900003PA               000004223000000001000004298000000001R    PP000000000014098302 C       
092900003ZA               000004226000000001000004283000000001R    ZZ000000000014098962 C       
092900003TA               000004229000000001000004280000000001R    TT000000000014099012 C       
092900300YA               000000000000000000000004365000000001R    YY000000000014122302 C       
092900300YA               000004145000000001000004365000000001R    YY000000000014122402 C       
092907003TA               000004229000000001000004279000000002R    TT000000000014246912 C       
092927060PA               000004230000000002000004298000000001R    PP000000000014573162 C       
092930003PA               000004231000000001000004298000000001R    PP000000000014614662 C       
092930004ZA               000004226000000001000004284000000001R    ZZ000000000014615202 C       
092930004TA               000004056000000001000004279000000002R    TT000000000014615702 C       
092930282YA               000004238000000008000004365000000001R    YY000000000014629662 C       
092930282YA               000004238000000008000004291000000008R    YY000000000014629702 C       
092930282YA               000004238000000008000004290000000001R    YY000000000014629802 C       
092930284DA               000004237000000017000000000000000000RFLOWDD000000000014630001AC       
092930284DA               000004237000000017000004292000000017RFLOWDD000000000014630101AC       
092940501TA               000004061000000001000004279000000002R    TT000000000014738100 C       
092940905PA               000004239000000003000004298000000001R    PP000000000014750460 C       
092945006PA               000004240000000001000004298000000001R    PP000000000014825760 C       
092945006ZA               000004225000000001000004284000000001R    ZZ000000000014826300 C       
092945006ZA               000004225000000001000004283000000001R    ZZ000000000014826700 C       
092945007TA               000004243000000001000004279000000002R    TT000000000014827310 C       
092945007PA               000004241000000003000004298000000001R    PP000000000014827800 C       
092945007PA               000004244000000003000004298000000001R    PP000000000014828960 C       
092958825ZA               000004145000000001000004283000000001R    ZZ000000000015011500 C       
092958825ZA               000004233000000001000004283000000001R    ZZ000000000015011600 C       
092958825ZA               000004234000000001000004283000000001R    ZZ000000000015011700 C       
092959011BA               000000000000000000000004279000000002R    BB000000000015044800 C       
093000010PA               000004247000000003000004298000000001R    PP000000000015074760 C       
093000010TA               000004243000000001000004279000000005R    TT000000000015075960 C       
093000016PA               000004247000000004000004298000000001R    PP000000000015091060 C       
093000033PA               000004248000000003000004298000000001R    PP000000000015119560 C       
093000033PA               000004248000000004000004298000000001R    PP000000000015119960 C       
093000059JA               000003568000000001000000000000000000R    JJ000000000015179400 C       
093000061JA               000003568000000001000004963000000001R    JJ000000000015183200 C       
093000069KA               000003568000000001000004316000000001R    KK000000000015194800 C       
093000074PA               000004248000000003000004298000000001R    PP000000000015202860 C       
093000085YA               000004239000000001000004290000000001R    YY000000000015225900 C       
093000086ZA               000004233000000001000004283000000001R    ZZ000000000015226500 C       
093000086TA               000004231000000002000004279000000005R    TT000000000015227800 C       
093000086TA               000004231000000002000004278000000001R    TT000000000015228060 C       
093000086TA               000004231000000002000004278000000002R    TT000000000015228960 C       
093000087TA               000004220000000002000004278000000002R    TT000000000015235700 C       
093000089PA               000004248000000003000004278000000003R    PP000000000015244810 C       
093000090TA               000004208000000002000004278000000002R    TT000000000015249700 C       
093000090PA               000004248000000003000004278000000004R    PP000000000015252110 C       
093000091PA               000004248000000003000004277000000001R    PP000000000015255010 C       
093000091PA               000004249000000001000004277000000001R    PP000000000015256810 C       
093000093PA               000004249000000001000004276000000003R    PP000000000015262810 C       
093000093PA               000004249000000002000004276000000003R    PP000000000015263310 C       
093000096TA               000004196000000002000004278000000002R    TT000000000015276000 C       
093000108TA               000004220000000001000004278000000002R    TT000000000015304300 C       
093000915TA               000004216000000002000004278000000002R    TT000000000015541900 C       
093001003PA               000004250000000003000004276000000003R    PP000000000015561410 C       
